Título,Enlace,Votos_Texto,Clics_Texto,Votos,Clics,Ratio_Validacion_%,¿Es_Bulo_Sospechoso?
Activación extraordinaria de alerta en toda Castilla y León por casi una veintena de incendios simultáneos en El Bierzo,https://elbierzo.eldiario.es/comarca/provincia-leon-sufre-unisono-14-incendios-forestales-cuatro-nivel-rojo-oleada-rayos-bierzo_,41,74 clics,41,74,54.666666666666664,False
Más de 1.000 casos judiciales en jaque: exforense admite que manipuló pruebas de ADN (inglés),https://www.denverpost.com/2026/06/23/missy-woods-pleads-guilty-cbi-dna-scandal/,40,128 clics,40,128,31.007751937984494,False
El Partido Demócrata está siendo golpeado por un tsunami de izquierdas [Eng],https://www.theguardian.com/commentisfree/2026/jun/24/democratic-party-leftist-tidal-wave,63,115 clics,63,115,54.310344827586206,False
Asturias recupera una guía de 1905 para vivir su primer eclipse total en 121 años,https://www.lavozdeasturias.es/noticia/asturias/2026/06/25/asturias-recupera-guia-1905-vivir-primer-eclipse-total-121-anos/00031782400331043949952.htm,20,94 clics,20,94,21.052631578947366,False
El papel de la CIA y la OTAN en la caída de Adolfo Suárez,https://diario-octubre.com/2026/06/22/el-papel-de-la-cia-y-la-otan-en-la-caida-de-adolfo-suarez/,68,300 clics,68,300,22.591362126245848,False
Indignación en la audiencia ante las reiteradas entrevistas de Ana Rosa a Ayuso: “¿Tiene sección?”,https://www.elplural.com/extratele/indignacion-audiencia-reiteradas-entrevistas-ana-rosa-ayuso-tiene-seccion_393964102,153,187 clics,153,187,81.38297872340425,False
Detenidas una exedil del PP y su hija acusadas de apropiarse de 25.000 € de una entidad de Alzheimer,https://www.elconfidencial.com/espana/castilla-y-leon/2026-06-24/detenidas-exedil-pp-hija-acusadas-apropiarse-dinero-entidad-alzheimer_4377664/,125,126 clics,125,126,98.4251968503937,False
España envía a la UME a Venezuela para ayudar en el trabajo tras los terremotos,https://www.infobae.com/espana/2026/06/25/espana-envia-a-la-ume-a-venezuela-para-ayudar-en-el-trabajo-tras-los-terremotos-que-ya-han-dejado-32-muertos-y-700-heridos/,161,162 clics,161,162,98.77300613496932,False
Imágenes aéreas del desastre que deja el terremoto en Venezuela,https://www.laregion.es/mundo/video-estremecedoras-imagenes-aereas-desastre-terremoto-venezuela_1_20260625-4330332.html,89,2110 clics,89,2110,4.216011369019422,False
Telefónica da un ultimátum a los que conectan equipos no oficiales a su fibra. O restituyen su router o perderán el servicio,https://bandaancha.eu/articulos/aviso-excepcional-telefonica-conectan-11821,92,1303 clics,92,1303,7.05521472392638,False
"Hola, personas que están en contra de la eutanasia",https://www.meneame.net/story/hola-personas-estan-contra-eutanasia,141,3329 clics,141,3329,4.234234234234234,False
Joan Collins: impactantes retratos del rodaje de «Tierra de faraones» (1955) [ENG],http://www.vintag.es/2026/06/joan-collins-land-of-the-pharaohs.html,47,1756 clics,47,1756,2.6750142287990895,True
El Estado español se sitúa a la cola de la UE en días de baja a cargo de la empresa,https://diariosocialista.net/2026/06/25/el-estado-espanol-se-situa-a-la-cola-de-la-ue-en-dias-de-baja-a-cargo-de-la-empresa/,311,383 clics,311,383,80.98958333333334,False
“No es Netanyahu (por si acaso)”: Alozaina quema por San Juan un muñeco inspirado en el primer ministro israelí,https://www.areacostadelsol.com/malaga/no-es-netanyahu-por-si-acaso-alozaina-quema-por-san-juan-un-muneco-inspirado-en-el-primer-ministro-israeli/,151,629 clics,151,629,23.96825396825397,False
Venezuela te busca,https://venezuela-te-busca-app.hellogafaro.workers.dev/,159,1775 clics,159,1775,8.952702702702704,False
El calor que ha azotado Francia esta semana ha sido peor que el peor escenario imaginado para 2050 (ENG),https://www.washingtonpost.com/weather/2026/06/25/french-tv-presenter-once-imagined-2050-heat-wave-did-france-reach-those-levels-this-week/,254,1005 clics,254,1005,25.24850894632207,False
El Congreso aprueba en pleno la transferencia a Galicia de la AP-9,https://www.laopinioncoruna.es/galicia/2026/06/25/congreso-aprueba-pleno-transferencia-galicia-131797352.html,214,589 clics,214,589,36.271186440677965,False
Hoy soy quien soy porque ayer pirateé,https://www.viernesenkiribati.com/p/hoy-soy-quien-soy-porque-ayer-piratee,227,1187 clics,227,1187,19.107744107744107,False
La portavoz de Familia de Vox: “Cuando tengamos mayoría absoluta no dejaremos una coma de la Ley del Aborto”,https://www.elpueblodeceuta.es/sec/politica/portavoz-familia-vox-tengamos-mayoria_1_1179640.html,428,942 clics,428,942,45.387062566277834,False
Álex de la Iglesia dirigirá su primera película de animación llevando al cine el universo de H.P. Lovecraft,https://cineconn.es/alex-de-la-iglesia-hp-lovecraft-age-of-madness/,178,790 clics,178,790,22.5031605562579,False
Una guarida secreta para amantes de los sudokus y pasatiempos por el estilo,https://puzzlelair.com,88,1947 clics,88,1947,4.517453798767967,False
Un venezolano graba el estado de su edificio mientras baja por las escaleras,https://www.youtube.com/watch?v=hr9Uv_OaxkQ,141,3955 clics,141,3955,3.564206268958544,False
"""Atropellado en León un anciano de 45 años a la altura de Mariano Andrés"".",https://www.meneame.net/story/atropellado-leon-anciano-45-anos-altura-mariano-andres-tpm,194,10757 clics,194,10757,1.8033091652723554,True
El ensañamiento de Feijóo con Sánchez puede resucitar a una parte de la izquierda,https://diariosabemos.com/analisis/el-ensanamiento-de-feijoo-con-sanchez-puede-resucitar-a-una-parte-de-la-izquierda_517581_102.html,372,1620 clics,372,1620,22.9487970388649,False
"Zapatero pide la ""nulidad general"" del caso Plus Ultra por vulneración de derechos",https://www.ondacero.es/noticias/espana/zapatero-pide-nulidad-general-caso-plus-ultra-vulneracion-derechos_202606256a3d1853abcaef0cd1255177.html,363,473 clics,363,473,76.58227848101265,False
